PeakID (cmd=TPR1eds1_QuEST_peaks.bed tair10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
R-78	Chr1	2755081	2756082	+	31,7618	NA	Intergenic	Intergenic	3425	AT1G08650	837387	At.46809	NM_001198012		PPCK1	ATPPCK1|PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE|PHOSPHOENOLPYRUVATE CARBOXYLASE KINASE 1|phosphoenolpyruvate carboxylase kinase 1	phosphoenolpyruvate carboxylase kinase 1	protein-coding
R-780	Chr1	4532868	4533281	+	10,5873	NA	Intergenic	Intergenic	-3011	AT1G13250	837885	At.22620	NM_101196		GATL3	T6J4.1|T6J4_1|galacturonosyltransferase-like 3	putative galacturonosyltransferase-like 3	protein-coding
R-781	Chr1	4772563	4773081	+	10,5545	NA	promoter-TSS (AT1G13950.1)	promoter-TSS (AT1G13950.1)	-754	AT1G13950	837955	At.24908	NM_101261		ELF5A-1	ATELF5A-1|EIF-5A|EIF5A|EUKARYOTIC ELONGATION FACTOR 5A|EUKARYOTIC ELONGATION FACTOR 5A-1|F16A14.17|eukaryotic elongation factor 5A-1	translation initiation factor eIF-5A	protein-coding
R-782	Chr4	16582870	16583159	+	10,5545	NA	promoter-TSS (AT4G34760.1)	promoter-TSS (AT4G34760.1)	-135	AT4G34760	829628	At.20686	NM_119642		AT4G34760	F11I11.11	SAUR-like auxin-responsive protein 9	protein-coding
R-783	Chr5	22123982	22124296	+	10,5436	NA	promoter-TSS (AT5G54500.2)	promoter-TSS (AT5G54500.2)	-372	AT5G54500	835538	At.43051	NM_001203609		FQR1	F24B18.12|F24B18_12|flavodoxin-like quinone reductase 1	flavodoxin-like quinone reductase 1	protein-coding
R-784	Chr5	18944204	18944411	+	10,5436	NA	Intergenic	Intergenic	-1308	AT5G46690	834712	At.29935	NM_124039		bHLH071	MZA15.10|MZA15_10|beta HLH protein 71	transcription factor bHLH71	protein-coding
R-785	Chr4	1491498	1492152	+	10,5436	NA	exon (AT4G03390.1, exon 13 of 17)	exon (AT4G03390.1, exon 13 of 17)	-1597	AT4G03380	827946	At.50318	NM_116576		AT4G03380	F4C21.34|F4C21_34	hypothetical protein	protein-coding
R-787	Chr1	20815005	20815470	+	10,5327	NA	Intergenic	Intergenic	-2397	AT1G55690	842018	At.21485	NM_104445		AT1G55690	F20N2.11	sec.4-like phosphatidylinositol transfer protein	protein-coding
R-79	Chr5	2399093	2399798	+	31,6526	NA	promoter-TSS (AT5G07580.1)	promoter-TSS (AT5G07580.1)	-59	AT5G07580	830651	At.26419	NM_120840		AT5G07580	MBK20.1	ERF/AP2 transcription factor	protein-coding
R-790	Chr3	18861400	18861968	+	10,5218	NA	TTS (AT3G50750.1)	TTS (AT3G50750.1)	1550	AT3G50750	824239	At.35459	NM_114935		BEH1	BES1/BZR1 homolog 1|F18B3.30	BES1/BZR1 homolog 1	protein-coding
R-793	ChrM	288199	288737	+	10,4999	NA	TTS (ATMG01130.1)	TTS (ATMG01130.1)	615	ATMG01120								
R-794	Chr3	5165317	5165588	+	10,4999	NA	promoter-TSS (AT3G15350.2)	promoter-TSS (AT3G15350.2)	-754	AT3G15350	820766	At.71086	NM_112398		AT3G15350	-	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein	protein-coding
R-795	Chr3	4118684	4118951	+	10,4999	NA	Intergenic	Intergenic	4691	AT3G12920	820477	At.39524	NM_112128		AT3G12920	-	S-ribonuclease binding protein	protein-coding
R-797	Chr4	14395013	14395534	+	10,489	NA	Intergenic	Intergenic	-1900	AT4G29190	829040	At.67031	NM_119063		AT4G29190	F17A13.10|F17A13_10	zinc finger CCCH domain-containing protein 49	protein-coding
R-798	Chr3	17558003	17558237	+	10,489	NA	promoter-TSS (AT3G47620.1)	promoter-TSS (AT3G47620.1)	-729	AT3G47620	823916	At.21251	NM_114630		TCP14	AtTCP14|TEOSINTE BRANCHED|cycloidea and PCF (TCP) 14	transcription factor TCP14	protein-coding
R-80	Chr2	13645293	13646721	+	31,4343	NA	TTS (AT2G32090.2)	TTS (AT2G32090.2)	1380	AT2G32090	817769	At.20803	NM_128769		AT2G32090	F22D22.16|F22D22_16	lactoylglutathione lyase / glyoxalase I-like protein	protein-coding
R-800	Chr5	18791381	18791819	+	10,4781	NA	promoter-TSS (AT5G46330.1)	promoter-TSS (AT5G46330.1)	-136	AT5G46330	834676	At.29960	NM_124003		FLS2	FLAGELLIN-SENSITIVE 2|MPL12.13|MPL12.8|MPL12_13	LRR receptor-like serine/threonine-protein kinase FLS2	protein-coding
R-801	Chr5	7167468	7167757	+	10,4781	NA	promoter-TSS (AT5G21100.1)	promoter-TSS (AT5G21100.1)	-572	AT5G21100	832234	At.23158	NM_122118		AT5G21100	T10F18.130|T10F18_130	L-ascorbate oxidase	protein-coding
R-802	Chr2	13660337	13660717	+	10,4672	NA	exon (AT2G32150.1, exon 8 of 8)	exon (AT2G32150.1, exon 8 of 8)	1521	AT2G32150	817774	At.21600	NM_128774		AT2G32150	F22D22.10|F22D22_10	haloacid dehalogenase-like hydrolase domain-containing protein	protein-coding
R-804	Chr1	436030	436142	+	10,4563	NA	exon (AT1G02230.1, exon 3 of 6)	exon (AT1G02230.1, exon 3 of 6)	690	AT1G02230	837630	At.71673	NM_100104		NAC004	ANAC004|NAC domain containing protein 4|T6A9.19	NAC domain-containing protein 4	protein-coding
R-809	Chr2	18486299	18486816	+	10,4017	NA	TTS (AT2G44820.2)	TTS (AT2G44820.2)	1902	AT2G44820	819091	At.36711	NM_130046		AT2G44820	F16B22.34|F16B22_34	hypothetical protein	protein-coding
R-81	Chr5	23997903	23998099	+	31,3252	NA	promoter-TSS (AT5G59540.2)	promoter-TSS (AT5G59540.2)	-411	AT5G59540	836073	At.9727	NM_001037027		AT5G59540	F2O15.6|F2O15_6	oxidoreductase, 2OG-Fe(II) oxygenase family protein	protein-coding
R-810	Chr3	7772946	7773568	+	10,3908	NA	TTS (AT3G22060.1)	TTS (AT3G22060.1)	-2072	AT3G22072	6240577				AT3G22072	-	ncRNA	ncRNA
R-811	Chr2	642218	642532	+	10,3908	NA	Intergenic	Intergenic	4363	AT2G02440	814774	At.52601	NM_126300		AT2G02440	T16F16.23|T16F16_23	hypothetical protein	protein-coding
R-812	Chr3	5815305	5815463	+	10,3799	NA	exon (AT3G17050.1, exon 1 of 1)	exon (AT3G17050.1, exon 1 of 1)	636	AT3G17050	3768842				AT3G17050	-	pseudo	pseudo
R-813	Chr1	22677400	22677838	+	10,358	NA	promoter-TSS (AT1G61470.1)	promoter-TSS (AT1G61470.1)	94	AT1G61460	842440	At.36442	NM_104827		AT1G61460	T1F9.5|T1F9_5	putative S-locus protein kinase	protein-coding
R-815	Chr4	16742113	16742389	+	10,358	NA	Intergenic	Intergenic	-1786	AT4G35180	829671	At.70694	NM_119684		LHT7	LYS/HIS transporter 7|T12J5.50|T12J5_50	LYS/HIS transporter 7	protein-coding
R-816	Chr4	16596296	16596640	+	10,3471	NA	promoter-TSS (AT4G34800.1)	promoter-TSS (AT4G34800.1)	-392	AT4G34800	829632	At.54605	NM_119646		AT4G34800	F11I11.40|F11I11_40	SAUR-like auxin-responsive protein	protein-coding
R-817	Chr4	7616439	7616553	+	10,3471	NA	Intergenic	Intergenic	-1065	AT4G13050	826919	At.33422	NM_117374		AT4G13050	F25G13.140|F25G13_140	fatty acyl-ACP thioesterase A	protein-coding
R-818	Chr2	16894236	16895136	+	10,3471	NA	Intergenic	Intergenic	-1896	AT2G40450	818639	At.53086	NM_129606		AT2G40450	T2P4.20|T2P4_20	BTB/POZ domain-containing protein	protein-coding
R-819	Chr5	25900231	25900647	+	10,3362	NA	TTS (AT5G64780.1)	TTS (AT5G64780.1)	1688	AT5G64780	836599	At.28940	NM_125874		AT5G64780	MVP7.11|MVP7_11	hypothetical protein	protein-coding
R-82	Chr4	1431762	1432026	+	30,8886	NA	TTS (AT4G03270.1)	TTS (AT4G03270.1)	1797	AT4G03270	828000	At.54112	NM_116565		CYCD6;1	Cyclin D6;1|F4C21.20|F4C21_20	cyclin D6-1	protein-coding
R-820	Chr4	17539746	17540008	+	10,3362	NA	promoter-TSS (AT4G37260.1)	promoter-TSS (AT4G37260.1)	-613	AT4G37260	829880	At.74571	NM_119889		MYB73	AP22.97|AP22_97|ATMYB73|myb domain protein 73	myb domain protein 73	protein-coding
R-821	Chr3	17546960	17547221	+	10,3362	NA	Intergenic	Intergenic	-2031	AT3G47610	823915	At.67277	NM_114629		AT3G47610	-	transcription regulator/ zinc ion binding protein	protein-coding
R-822	Chr3	546061	546451	+	10,3362	NA	promoter-TSS (AT3G02570.1)	promoter-TSS (AT3G02570.1)	-647	AT3G02580	820679	At.114	NM_111126		STE1	BOULE 1|BUL1|DELTA7 STEROL C-5 DESATURASE|DWARF 7|DWF7|F16B3.21|F16B3_21|sterol 1	delta(7)-sterol-C5(6)-desaturase 1	protein-coding
R-823	Chr1	28218423	28218920	+	10,3253	NA	promoter-TSS (AT1G75190.1)	promoter-TSS (AT1G75190.1)	130	AT1G75180	843855	At.48375	NM_106174		AT1G75180	F22H5.9|F22H5_9	Erythronate-4-phosphate dehydrogenase family protein	protein-coding
R-824	Chr3	9737437	9737702	+	10,3253	NA	Intergenic	Intergenic	-2028	AT3G26530	822261				AT3G26530	-	pseudo	pseudo
R-825	Chr3	8186754	8186926	+	10,3144	NA	TTS (AT3G23040.1)	TTS (AT3G23040.1)	760	AT3G23040	821878	At.53447	NM_113204		AT3G23040	-	hypothetical protein	protein-coding
R-828	Chr1	12188724	12188966	+	10,2707	NA	promoter-TSS (AT1G33610.1)	promoter-TSS (AT1G33610.1)	-65	AT1G33610	840255	At.75233	NM_103084		AT1G33610	T1E4.10|T1E4_10	Leucine-rich repeat (LRR) family protein	protein-coding
R-831	Chr4	17518990	17519248	+	10,2598	NA	intron (AT4G37235.1, intron 2 of 2)	intron (AT4G37235.1, intron 2 of 2)	1134	AT4G37235	2745737	At.49765	NM_202971		AT4G37235	-	hypothetical protein	protein-coding
R-832	Chr3	7282163	7282558	+	10,2598	NA	TTS (AT3G20820.1)	TTS (AT3G20820.1)	1482	AT3G20820	821630	At.27405	NM_112973		AT3G20820	-	leucine-rich repeat-containing protein	protein-coding
R-835	Chr4	13674887	13675158	+	10,238	NA	promoter-TSS (AT4G27310.1)	promoter-TSS (AT4G27310.1)	-616	AT4G27310	828839	At.28344	NM_118865		AT4G27310	M4I22.120|M4I22_120	B-box type zinc finger-containing protein	protein-coding
R-836	Chr3	19448979	19449369	+	10,238	NA	Intergenic	Intergenic	-1475	AT3G52470	824412	At.20394	NM_115107		AT3G52470	-	late embryogenesis abundant hydroxyproline-rich glycoprotein	protein-coding
R-837	Chr3	17704522	17704809	+	10,238	NA	Intergenic	Intergenic	-3832	AT3G47960	823951	At.71210	NM_114665		AT3G47960	-	putative peptide/nitrate transporter	protein-coding
R-838	Chr2	19377197	19377352	+	10,238	NA	TTS (AT2G47200.1)	TTS (AT2G47200.1)	1057	AT2G47200	819333	At.36395	NM_130288		AT2G47200	T8I13.4	hypothetical protein	protein-coding
R-839	Chr1	29572993	29573634	+	10,2271	NA	3' UTR (AT1G78620.2, exon 5 of 5)	3' UTR (AT1G78620.2, exon 5 of 5)	-1187	AT1G78610	844197	At.34269	NM_106508		MSL6	T30F21.6|T30F21_6|mechanosensitive channel of small conductance-like 6	mechanosensitive channel of small conductance-like 6	protein-coding
R-84	Chr4	13020891	13021800	+	30,7794	NA	TTS (AT4G25490.1)	TTS (AT4G25490.1)	1380	AT4G25490	828653	At.232	NM_118681		CBF1	ATCBF1|C-repeat/DRE binding factor 1|DRE BINDING PROTEIN 1B|DREB1B|T30C3.11|TRANSCRIPTIONAL ACTIVATOR CBF1	dehydration-responsive element-binding protein 1B	protein-coding
R-840	Chr1	25730629	25730913	+	10,2271	NA	Intergenic	Intergenic	-3070	AT1G68550	843184	At.21149	NM_105526		AT1G68550	T26J14.12|T26J14_12	ethylene-responsive transcription factor ERF118	protein-coding
R-841	Chr1	26892404	26892526	+	10,2052	NA	exon (AT1G71360.1, exon 3 of 3)	exon (AT1G71360.1, exon 3 of 3)	-1234	AT1G71350	843476	At.70350	NM_105804		AT1G71350	F3I17.23|F3I17_23	eukaryotic translation initiation factor SUI1-like protein	protein-coding
R-842	Chr5	15957168	15957573	+	10,2052	NA	promoter-TSS (AT5G39860.1)	promoter-TSS (AT5G39860.1)	-47	AT5G39860	833982	At.30322	NM_123349		PRE1	BANQUO 1|BASIC HELIX-LOOP-HELIX PROTEIN 136|BHLH136|BNQ1|MYH19.1|MYH19_1|PACLOBUTRAZOL RESISTANCE1	basic helix-loop-helix (bHLH) DNA-binding family protein	protein-coding
R-843	Chr3	3480324	3480457	+	10,2052	NA	promoter-TSS (AT3G11120.1)	promoter-TSS (AT3G11120.1)	411	AT3G11110	820282	At.53265	NM_111948		AT3G11110	-	RING-H2 finger protein ATL66	protein-coding
R-844	Chr2	16700437	16700652	+	10,1943	NA	promoter-TSS (AT2G39990.1)	promoter-TSS (AT2G39990.1)	-532	AT2G39990	818587	At.10968	NM_129557		EIF2	Arabidopsis thaliana eukaryotic translation initiation factor 3 subunit F|AteIF3f|T28M21.15|T28M21_15|TRANSLATION INITIATION FACTOR EIF2 P47 SUBUNIT HOMOLOG|eIF3F|eukaryotic translation initiation factor 2|eukaryotic translation initiation factor 3 subunit F	translation initiation factor eIF-3 subunit 5	protein-coding
R-845	Chr4	8826078	8826367	+	10,1725	NA	TTS (AT4G15420.1)	TTS (AT4G15420.1)	-1654	AT4G15430	827214	At.27104	NM_001160765		AT4G15430	DL3760W|FCAALL.292	ERD (early-responsive to dehydration stress) family protein	protein-coding
R-847	Chr3	18062441	18062552	+	10,1616	NA	Intergenic	Intergenic	-6582	AT3G48745	3769689				AT3G48745	67264.TRNA-GLN-1	tRNA	tRNA
R-848	Chr2	19153755	19154016	+	10,1616	NA	exon (AT2G46660.1, exon 2 of 2)	exon (AT2G46660.1, exon 2 of 2)	1604	AT2G46660	819278	At.36480	NM_130231		CYP78A6	T3A4.4|T3A4_4|cytochrome P450|family 78|polypeptide 6|subfamily A	cytochrome P450, family 78, subfamily A, polypeptide 6	protein-coding
R-849	Chr4	13966683	13966823	+	10,1398	NA	5' UTR (AT4G28100.1, exon 1 of 2)	5' UTR (AT4G28100.1, exon 1 of 2)	107	AT4G28100	828926	At.27710	NM_118950		AT4G28100	T13J8.210|T13J8_210	hypothetical protein	protein-coding
R-850	Chr2	10071133	10071511	+	10,1288	NA	promoter-TSS (AT2G23690.1)	promoter-TSS (AT2G23690.1)	-911	AT2G23690	816900	At.43913	NM_127932		AT2G23690	F27L4.13|F27L4_13	hypothetical protein	protein-coding
R-851	Chr1	6836150	6836299	+	10,1179	NA	exon (AT1G19780.1, exon 2 of 6)	exon (AT1G19780.1, exon 2 of 6)	354	AT1G19780	838566	At.66905	NM_101834		CNGC8	ATCNGC8|F14P1.12|F14P1_12|cyclic nucleotide gated channel 8	cyclic nucleotide gated channel 8	protein-coding
R-852	Chr3	11482496	11482630	+	10,107	NA	Intergenic	Intergenic	-2814	AT3G29639	5008042	At.68396	NM_001084754		AT3G29639	-	hypothetical protein	protein-coding
R-853	Chr1	9308157	9308309	+	10,0961	NA	Intergenic	Intergenic	-2433	AT1G26860	837037				AT1G26860	T2P11.5|T2P11_5	pseudo	pseudo
R-857	Chr1	11801094	11801250	+	10,0415	NA	promoter-TSS (AT1G32640.1)	promoter-TSS (AT1G32640.1)	-184	AT1G32640	840158	At.22648	NM_102998		MYC2	ATMYC2|F6N18.4|F6N18_4|JAI1|JASMONATE INSENSITIVE 1|JIN1|RD22BP1|ZBF1	transcription factor MYC2	protein-coding
R-858	Chr1	2347798	2347937	+	10,0415	NA	Intergenic	Intergenic	-1025	AT1G07620	837275	At.49301	NM_100635		ATOBGM	F24B9.32|F24B9_32	GTP-binding protein Obg/CgtA	protein-coding
R-86	Chr2	17795833	17796442	+	30,7794	NA	TTS (AT2G42750.1)	TTS (AT2G42750.1)	1094	AT2G42760	818876	At.36972	NM_129837		AT2G42760	F7D19.24|F7D19_24	hypothetical protein	protein-coding
R-860	Chr3	3586331	3586476	+	10,0415	NA	promoter-TSS (AT3G11410.1)	promoter-TSS (AT3G11410.1)	-613	AT3G11410	820314	At.20739	NM_111974		PP2CA	AHG3|ARABIDOPSIS THALIANA PROTEIN PHOSPHATASE 2CA|ATPP2CA|protein phosphatase 2CA	protein phosphatase 2C 37	protein-coding
R-861	Chr2	18790370	18790824	+	10,0415	NA	promoter-TSS (AT2G45610.1)	promoter-TSS (AT2G45610.1)	-866	AT2G45610	819169	At.53134	NM_130123		AT2G45610	F17K2.14	alpha/beta-hydrolase-like protein	protein-coding
R-864	Chr4	9445933	9446143	+	10,0197	NA	Intergenic	Intergenic	-3076	AT4G16780	827384	At.74809	NM_117780		HB-2	ARABIDOPSIS THALIANA HOMEOBOX PROTEIN 2|ATHB-2|ATHB2|DL4415W|FCAALL.101|HAT4|homeobox protein 2	homeobox-leucine zipper protein HAT4	protein-coding
R-866	Chr1	27664584	27664772	+	9,99786	NA	Intergenic	Intergenic	-4474	AT1G73600	843694	At.43548	NM_106018		AT1G73600	F6D5.1|F6D5_1	putative phosphoethanolamine N-methyltransferase 3	protein-coding
R-87	Chr1	19225691	19226287	+	30,5612	NA	promoter-TSS (AT1G51805.1)	promoter-TSS (AT1G51805.1)	-299	AT1G51805	841607	At.22048	NM_001198271		AT1G51805	F19C24.2|F19C24_2	leucine-rich repeat protein kinase-like protein	protein-coding
R-88	Chr1	25890184	25890970	+	30,3429	NA	TTS (AT1G68870.1)	TTS (AT1G68870.1)	1171	AT1G68872	7922464				AT1G68872	-	ncRNA	ncRNA
R-9	Chr1	23895258	23896285	+	87,3176	NA	Intergenic	Intergenic	-3598	AT1G64380	842745	At.67835	NM_105113		AT1G64380	F15H21.12|F15H21_12	ethylene-responsive transcription factor ERF061	protein-coding
R-90	Chr4	13017719	13018223	+	30,1246	NA	TTS (AT4G25480.1)	TTS (AT4G25480.1)	1150	AT4G25480	828652	At.231	NM_118680		DREB1A	ATCBF3|C-REPEAT BINDING FACTOR 3|CBF3|T30C3.3|TRANSCRIPTIONAL ACTIVATOR CBF3|dehydration response element B1A	dehydration-responsive element-binding protein 1A	protein-coding
R-91	Chr3	4123776	4124797	+	30,1246	NA	promoter-TSS (AT3G12920.1)	promoter-TSS (AT3G12920.1)	-778	AT3G12920	820477	At.39524	NM_112128		AT3G12920	-	S-ribonuclease binding protein	protein-coding
R-92	Chr2	16855972	16856123	+	29,7971	NA	exon (AT2G40360.1, exon 3 of 14)	exon (AT2G40360.1, exon 3 of 14)	643	AT2G40360	818629	At.25164	NM_129596		AT2G40360	T3G21.13|T3G21_13	transducin/WD-40 repeat-containing protein	protein-coding
R-93	Chr1	27276539	27278713	+	29,688	NA	Intergenic	Intergenic	-1309	AT1G72450	843577	At.25041	NM_105904		JAZ6	T10D10.8|T10D10_8|TIFY DOMAIN PROTEIN 11B|TIFY11B|jasmonate-zim-domain protein 6	protein TIFY 11B	protein-coding
R-95	Chr5	22649477	22650486	+	29,5788	NA	promoter-TSS (AT5G55920.1)	promoter-TSS (AT5G55920.1)	-534	AT5G55920	835690	At.43081	NM_180596		OLI2	OLIGOCELLULA 2	S-adenosyl-L-methionine-dependent methyltransferase-like protein	protein-coding
R-96	Chr4	18125364	18126224	+	29,4697	NA	promoter-TSS (AT4G38840.1)	promoter-TSS (AT4G38840.1)	-235	AT4G38840	830039	At.73979	NM_120044		AT4G38840	F19H22.7	SAUR-like auxin-responsive protein	protein-coding
R-97	Chr3	6840093	6840394	+	29,2514	NA	promoter-TSS (AT3G19680.1)	promoter-TSS (AT3G19680.1)	-38	AT3G19680	821505	At.17613	NM_112858		AT3G19680	-	hypothetical protein	protein-coding
R-98	Chr4	1499630	1500792	+	29,1422	NA	promoter-TSS (AT4G03400.1)	promoter-TSS (AT4G03400.1)	-346	AT4G03400	827938	At.37575	NM_116578		DFL2	DWARF IN LIGHT 2|F9H3.1|GH3-10	auxin-responsive GH3 family protein	protein-coding
R-99	Chr3	8942855	8943657	+	28,7057	NA	promoter-TSS (AT3G24518.1)	promoter-TSS (AT3G24518.1)	-768	AT3G24518	5008028				AT3G24518	-	ncRNA	ncRNA
